Movie,Cast,ProfileLink,Role,Filmography
Coco,Anthony Gonzalez,http://www.imdb.com/name/nm5645519/?ref_=tt_cl_t1,"
            Miguel 
  
  
  (voice)
  
                      

              ","The Gospel Truth, Icebox, Coco, Dante's Lunch: A Short Tail, Criminal Minds: Beyond Borders, Icebox, Imagination of Young, The Bridge, Como mi hermano"
Coco,Gael García Bernal,http://www.imdb.com/name/nm0305558/?ref_=tt_cl_t2,"
            Héctor 
  
  
  (voice)
  
                      

              ","Aquí en la Tierra, Museo, The Kindergarten Teacher, Z, Coco, Si tu voyais son coeur, Dante's Lunch: A Short Tail, Mozart in the Jungle, Salt and Fire, Neruda, Me estás matando Susana, Desierto, Eva no duerme, Zoom, Rosewater, El Ardor, Vamps, No, Casa de mi Padre, Zalet, The Loneliest Planet, A Little Bit of Heaven, También la lluvia, Letters to Juliet, The Limits of Control, Mammoth, Rudo y Cursi, Blindness, El pasado, Déficit, La science des rêves - Film B, Babel, Soy tu fan, La science des rêves, The King, La mala educación, Diarios de motocicleta, Dreaming of Julia, Dot the I, I'm with Lucy, El crimen del Padre Amaro, Fidel, The Last Post, Sin noticias de Dios, Vidas privadas, El ojo en la nuca, Y tu mamá también, Cerebro, Queen of Swords, Amores perros, De tripas, corazón, El abuelo y yo, Teresa"
Coco,Benjamin Bratt,http://www.imdb.com/name/nm0000973/?ref_=tt_cl_t3,"
            Ernesto de la Cruz 
  
  
  (voice)
  
                      

              ","Star, Coco, Shot Caller, Modern Family, Doctor Strange, The Infiltrator, Special Correspondents, Ride Along 2, Justice League: Gods and Monsters, Justice League: Gods and Monsters Chronicles, 24: Live Another Day, Super Manny, Cloudy with a Chance of Meatballs 2, Despicable Me 2, Despicable Me: Minion Rush, Snitch, Private Practice, The Lesser Blessed, Freedom Riders, Law & Order, Cloudy with a Chance of Meatballs, The Cleaner, American Experience, La Mission, Trucker, The Andromeda Strain, Love in the Time of Cholera, E-Ring, The Great Raid, Thumbsucker, Catwoman, The Woodsman, Frasier, Abandon, Piñero, After the Storm, Red Planet: Deleted Scenes, Miss Congeniality, Traffic, Red Planet, The Last Producer, The Next Best Thing, Homicide: Life on the Street, Exiled, Woman Undone, Late Night with Conan O'Brien, Follow Me Home, Texas, The River Wild, Clear and Present Danger, Demolition Man, Shadowhunter, Bound by Honor, One Good Cop, Chains of Gold, Bright Angel, Nasty Boys, Capital News, Nasty Boys, Knightwatch, Police Story: Gladiator School, Lovers, Partners & Spies, Juarez"
Coco,Alanna Ubach,http://www.imdb.com/name/nm0005513/?ref_=tt_cl_t4,"
            Mamá Imelda 
  
  
  (voice)
  
                      

              ","Tyrant, Coco, Girlfriends' Guide to Divorce, Welcome to the Wayne, Puppy Dog Pals, August Falls, Hand of God, The Last Word, To the Bone, TripTank, American Horror Story, Helen Keller vs. Nightwolves, Wallykazam!, NCIS: Naval Criminal Investigative Service, See Dad Run, Ben 10: Omniverse, Welcome to the Wayne, Stan Lee's Mighty 7, Things You Shouldn't Say Past Midnight, Kaijudo: Rise of the Duel Masters, Pound Puppies, Revolution, Grand Theft Auto V, Being Us, Marvel Heroes, Mad, Garbage, Californication, A Haunted House, Envelope, Fairly Legal, Should've Been Romeo, Ringer, Madagascar 3: The Video Game, Summer Song, Hung, It's Always Sunny in Philadelphia, Poolboy: Drowning Out the Fury, Men of a Certain Age, Bad Teacher, Losing Control, The Mentalist, Rango, Rango, Little in Common, Darnell Dawkins: Mouth Guitar Legend, Screwball: The Ted Whitfield Story, A Reuben by Any Other Name, Numb3rs, Stuntmen, Eli Stone, The Spectacular Spider-Man, My Manny, Still Waiting..., Shrinks, El Tigre: The Adventures of Manny Rivera, Batman: Gotham Knight, El Tigre: The Adventures of Manny Rivera, Playing Chicken, Jekyll, Friday Night Lights, Shrinks, Equal Opportunity, The Pre Nup, Random! Cartoons, Brandy & Mr. Whiskers, Hard Scrambled, Open Window, Higglytown Heroes, Uncommon Sense, House M.D., Waiting..., The Closer, Herbie Fully Loaded, CSI: NY, Meet the Fockers, Karroll's Christmas, Monk, Ozzy & Drix, 30 Days Until I'm Famous, Teamo Supremo, Nobody Knows Anything!, Wasabi Tuna, A mi amor mi dulce, Legally Blonde 2: Red, White & Blonde, John Doe, The Perfect You, The West Wing, Legally Blonde, What They Wanted, What They Got, The Division, Two Guys, a Girl and a Pizza Place, Gary & Mike, The Huntress, Tikiville, Slice & Dice, Shriek If You Know What I Did Last Friday the Thirteenth, Sports Night, Blue Moon, The Big Day, The Sterling Chase, Chicago Hope, Providence, Enough Already, All of It, Touched by an Angel, Tracey Takes On..., Pink as the Day She Was Born, Apt. 2F, Clockwatchers, Trading Favors, Just Your Luck, Layin' Low, Johns, Party of Five, Love Is All There Is, Seduced by Madness: The Diane Borchardt Story, Freeway, Out of Order, Virtuosity, Denise Calls Up, The Brady Bunch Movie, ER, Hits!, ABC Afterschool Specials, Renaissance Man, Diagnosis Murder, Sister Act 2: Back in the Habit, Airborne, Beakman's World, L.A. Law, Moment of Truth: Why My Daughter?, The Torkelsons, Just Life, The Blue Men"
Coco,Renee Victor,http://www.imdb.com/name/nm0896149/?ref_=tt_cl_t5,"
            Abuelita 
  
  
  (voice) (as Renée Victor)
  
                      

              ","The Unspeakable, The Green Ghost, That Motherf**Ker, Coco, In My Mother's Arms, A Time of Love and War, Entanglement, Witches of East End, Major Crimes, Saint George, Paranormal Activity: The Marked Ones, A Night in Old Mexico, Weeds, Forever Young at Heart, The Elder Scrolls V: Skyrim, Wake, Boyle Heights, Childrens Hospital, La carretera, Stuntmen, House of Payne, Confessions of a Shopaholic, Moe, Women's Murder Club, Good Morning Agrestic, Tears & Tortillas, Hollywood Familia, All You've Got, Hot Tamale, ER, Prospect, The Ortegas, What Really Happened During the Cuban Missile Crisis, Mister Sterling, Assassination Tango, Never Trust a Serial Killer, Strong Medicine, Wake-Up Call, Island Prey, Kid Quick, That's Life, A Family in Crisis: The Elian Gonzales Story, My Brother the Pig, Team Knight Rider, Four Corners, The Wonderful Ice Cream Suit, The Prophecy II, The Tony Danza Show, The Apostle, Time Well Spent, Men Behaving Badly, Libertad, The Parent 'Hood, Steal Big Steal Little, The Addams Family, Bob, The Doctor, The Flight, Salsa, Matlock, George Burns Comedy Week, Hotel, Scarecrow and Mrs. King"
Coco,Jaime Camil,http://www.imdb.com/name/nm0131781/?ref_=tt_cl_t6,"
            Papá 
  
  
  (voice)
  
                      

              ","Little Bitches, Glass Jaw, Maurice, Modisto de Señoras, Jane the Virgin, Coco, Elena of Avalor, The Secret Life of Pets, Los árboles mueren de pie, Qué pobres tan ricos, Elsa & Fred, Pulling Strings, Devious Maids, 200 Cartas, Zero Hour, Chiapas, el Corazón del Café, Por ella soy Eva, El cielo en tu mirada, Salvando al Soldado Pérez, Los exitosos Pérez, Regresa, Recién cazado, El agente 00-P2, All Inclusive, Las tontas no van al cielo, Una familia de diez, La fea más bella, I Love Miami, 7 días, Volver, volver, Zapata - El sueño del héroe, Puños rosas, Mujer de madera, Diseñador ambos sexos, Mi destino eres tú"
Coco,Alfonso Arau,http://www.imdb.com/name/nm0000778/?ref_=tt_cl_t7,"
            Papá Julio 
  
  
  (voice)
  
                      

              ","Malacopa, Coco, I Heart Shakey, The Treasure Hunt: A Chad, Matt & Rob Interactive Adventure, The Dead One, Picking Up the Pieces, Committed, Polvora en la piel, Camino largo a Tijuana, Where the Hell's That Gold?!!?, 227, Stones for Ibarra, Walker, Miami Vice, ¡Three Amigos!, Redondo, Romancing the Stone, El día que murió Pedro Infante, Mojado Power, Used Cars, La palomilla al rescate, Tívoli, Posse, Calzonzín inspector, Disneyland, El rincón de las vírgenes, Run, Cougar, Run, Bonanza, Gunsmoke, El jardín de la tía Isabel, El águila descalza, Scandalous John, El Topo, Paraíso, La vida inútil de Pito Pérez, Jóvenes de la Zona Rosa, Tres amigos, El aviso inoportuno, The Wild Bunch, Operación carambola, Pedro Páramo, El lobo estepario, En este pueblo no hay ladrones, ...und deine Liebe auch, Los pistolocos, Música en la noche, Viaje a la luna, Cien muchachas, La locura del rock and roll, Caras nuevas, El casto Susano, Miradas que matan"
Coco,Herbert Siguenza,http://www.imdb.com/name/nm0797567/?ref_=tt_cl_t8,"
            Tío Oscar /  
            Tío Felipe 
  
  
  (voice)
  
                      

              ","Coco, Tempo Novo, Deadly Sins, Revenge of the Bimbot Zombie Killers, Lola's Love Shack, Larry Crowne, Chuck, Ben 10: Alien Swarm, Lincoln Heights, Ylse, Culture Clash in AmeriCCa, Los reyes magos, The Movie Pitch, Mission Hill, English for All, Frank's Book, The Michael Richards Show, Camera Obscura, The Gold Cup, Foto Novelas: Mangas, Omnibus, Snake Skin Jacket, Happily Ever After: Fairy Tales for Every Child, Star Maps, Culture Clash, La Carpa, Hero, Encino Man, Great Performances, Sadie"
Coco,Gabriel Iglesias,http://www.imdb.com/name/nm0407101/?ref_=tt_cl_t9,"
            Clerk 
  
  
  (voice)
  
                      

              ","Show Dogs, Ferdinand, Untitled Gabriel Iglesias Comedy Show, Blazing Samurai, The Star, Coco, Narcos, The Nut Job 2: Nutty by Nature, Smurfs: The Lost Village, Ice Age: The Great Egg-Scapade, Americano, Norm of the North, The Fluffy Shop, Magic Mike XXL, Cristela, Hey It's Fluffy!, The Book of Life, Scooby-Doo! Ghastly Goals, A Haunted House 2, Annoying Orange: Movie Fruitacular, The Nut Job, Planes, Magic Mike, Hispanic Comedians: from Gabriel Iglesias to Melissa Villaseñor on growing up funny, The High Fructose Adventures of Annoying Orange, =3, Los Barriga, The Emperor's New School, Family Guy, The Surfer King, Días de Santiago, El matador, Entre vivos y plebeyos, My Wife and Kids, All That, VS., Lleno, por favor"
Coco,Lombardo Boyar,http://www.imdb.com/name/nm0101603/?ref_=tt_cl_t10,"
            Plaza Mariachi /  
            Gustavo 
  
  
  (voice)
  
                      

              ","Time in Between, Untitled Single Dad Project, Coco, Pup Star: Better 2Gether, Guerra, American Crime, The Bird Who Could Fly, Bad Santa 2, Man with a Plan, Ulterior Motives: Reality TV Massacre, Murder in the First, Pup Star, Noches con Platanito, The Last Heist, Criminal Minds: Beyond Borders, The Player, Tales of Halloween, Film Pigs, Real Husbands of Hollywood, How to Make Love Like an Englishman, Dawn of the Planet of the Apes, Jessie, Spiralmind, Belka i Strelka: Lunnye priklyucheniya, Halfway to Hell, The Garcias Have Landed, Viva America, Big Ass Spider!, Shameless, The Joe Schmo Show, Least Among Saints, Outlaw Country, GCB, Awake, NCIS: Naval Criminal Investigative Service, The Life & Times of Tim, Happy Feet Two, Call of Juarez: The Cartel, 3 MInutes in Hell, Breakout Kings, Rango, Southland, Little in Common, Group Sex, Miami Medical, Modern Family, CSI: Miami, Cold Case, The Closer, Next Day Air, The Chronicles of Riddick: Assault on Dark Athena, Untitled Cedric the Entertainer Project, The Last White Dishwasher, Raising the Bar, Beverly Hills Chihuahua, Turok, What Just Happened, Notes from the Underbelly, Biker Mice from Mars, Standoff, The Class, Happy Feet, Happy Feet, The Bernie Mac Show, Joey, Over There, American Gun, The Shield, Without a Trace, Boston Legal, Rocket Power, Rocket Power: Island of the Menehune, The Chronicles of Riddick: Escape from Butcher Bay, Taste, The D.A., Threat Matrix, The Wounded, Boomtown, CSI: Crime Scene Investigation, 24, Kingpin, Night Visions, Never Get Outta the Boat, S1m0ne, Shadow Realm, P.S. Your Cat Is Dead!, Rocket Power: Race Across New Zealand, First Monday, Family Law, NYPD Blue, Scenes of the Crime, Six Feet Under, The Division, Brother, Gone in Sixty Seconds, The X Files, The Pretender, Blink of an Eye, Candyman: Day of the Dead, Silk Stalkings, Edtv, Becker, To Serve and Protect, Martial Law, 17 and Under, Frasier, L.A. Doctors, C-16: FBI, ER, Gia, Sparks, Tear It Down, Nothing Sacred, Walker, Texas Ranger, Malcolm & Eddie, Baywatch, Dangerous Minds, Rant"
Coco,Ana Ofelia Murguía,http://www.imdb.com/name/nm0613872/?ref_=tt_cl_t11,"
            Mamá Coco 
  
  
  (voice)
  
                      

              ","Coco, Mozart in the Jungle, Tercera Llamada, Quererte así, La Noria, Fecha de caducidad, La brújula la lleva el muerto, El mar muerto, Las buenas hierbas, Te extraño, Gregoria la cucaracha, Olvidarte nunca, Solo quiero caminar, Arráncame la vida, Jacinta, Bajo el signo de cáncer, El viaje de la nonna, Mientras haya vida, Párpados azules, Señas particulares, Toda una vida, Bandidas, El que la sigue..., Hijas de su madre: Las Buenrostro, Paseo de ángeles, El edén, La caja, La partida, La hija del jardinero, La maceta, Lo Que Callamos Las Mujeres, Otilia Rauda, Escrito en el cuerpo de la noche, Pachito Rex - Me voy pero no del todo, Su alteza serenísima, Uroboros, Sexo por compasión, Ave María, Cuentos para solitarios, Cruz, El amor de mi vida, Luces de la noche, La tarde de un matrimonio de clase media, De noche vienes, Esmeralda, De muerte natural, El anzuelo, Te dejaré de amar, Tric Trac, Morena, Nadie hablará de nosotras cuando hayamos muerto, Ámbar, La reina de la noche, El jardín del Edén, Entre vivos y muertos, Que no quede huella, Objetos perdidos, Mi querido Tom Mix, El abuelo y yo, Giovanni è morto, Rosas de luna, Diplomatic Immunity, El jinete de la divina providencia, One Man's War, Morir en el golfo, Hora Marcada, Goitia, un dios para sí mismo, Intimidad, Los confines, Gaby: A True Story, Las inocentes, ¿Cómo ves?, Chido Guan, el tacos de oro, Los motivos de Luz, Mexicano ¡Tú puedes!, Dune, El corazón de la noche, La pasión de Isabela, Ora sí tenemos que ganar, Constelaciones, María de mi corazón, Amor libre, Cadena perpetua, Naufragio, Pedro Páramo, La viuda negra, Maten al león, José, Las poquianchis (De los pormenores y otros sucedidos del dominio público que acontecieron a las hermanas de triste memoria a quienes la maledicencia así las bautizó), El apando, México, México, ra ra ra, Esa mi Irene, El profeta Mimi, El águila descalza, Para servir a usted, El juego de Zuzanka, Pax?, El padre Guernica"
Coco,Natalia Cordova-Buckley,http://www.imdb.com/name/nm3086285/?ref_=tt_cl_t12,"
            Frida Kahlo 
  
  
  (voice)
  
                      

              ","Agents of S.H.I.E.L.D., Coco, Welcome Back, Bates Motel, Agents of S.H.I.E.L.D.: Slingshot, Icebox, Vámonos, McFarland, USA, Yerbamala, Flight, Ventanas al mar, Ella y el Candidato, Lluvia de Luna, Bienes raíces, Los Minondo, Sucedió en un día, Los simuladores, Terminales"
Coco,Selene Luna,http://www.imdb.com/name/nm0526090/?ref_=tt_cl_t13,"
            Tía Rosita 
  
  
  (voice)
  
                      

              ","Girls Will Be Girls 2012, Hellstorm, Coco, The Pretender, Fish Power, In Transition, Viral Video Showdown, Ave 43, Second City This Week, Demonic Toys: Personal Demons, Star-ving, My Bloody Valentine, Secrets of a Hollywood Nurse, The King Kaiser Show, Fat Girls, The Big One, Firecracker, Fat Actress, Freak of the Week, Behind the True Biography: Bjork, The Fluffer, Shadow Hours, Magicians, Can I Be Your Bratwurst, Please?"
Coco,Edward James Olmos,http://www.imdb.com/name/nm0001579/?ref_=tt_cl_t14,"
            Chicharrón 
  
  
  (voice)
  
                      

              ","A Dog's Way Home, The Art of Living, The Predator, Mayans MC, Windows on the World, Chasing Satellites, Imprisoned, Coco, Blade Runner 2049, Blade Runner: Black Out 2022, Narcos, Monday Nights at Seven, Americano, Urban Cowboy, The Simpsons, Agents of S.H.I.E.L.D., The Art of Human Salvage, House of the Righteous, 2 Guns, Go for Sisters, Filly Brown, Portlandia, Enduring Legacy, Eureka, Dexter, América, The Green Hornet, CSI: NY, I'm Still Here, A Class Apart, The Plan, Battlestar Galactica, Beverly Hills Chihuahua, Late Show with David Letterman, Battlestar Galactica: Razor, Battlestar Galactica: Razor Flashbacks, George Lopez, Splinter, Walkout, La cerca, The Batman, Battlestar Galactica, Greetings from Tucson, Jack and Marilyn, American Family, In the Time of the Butterflies, The Judge, The Princess & the Barrio Boy, Great Writers, Great Cities, Gossip, The Road to El Dorado, The West Wing, Bonanno: A Godfather's Story, The Wall, Touched by an Angel, The Taking of Pelham One Two Three, The Wonderful Ice Cream Suit, Selena Remembered, 12 Angry Men, Happily Ever After: Fairy Tales for Every Child, Gun, Hollywood Confidential, Selena, Disturbing the Peace, The Disappearance of Garcia Lorca, The Limbic Region, Dead Man's Walk, Caught, The Crystal Skull, Slave of Dreams, The Magic School Bus, My Family, 500 Nations, Mirage, The Burning Season, Menendez: A Killing in Beverly Hills, A Million to Juan, Roosters, Even Cowgirls Get the Blues, American Me, Talent for the Game, The Earth Day Special, Miami Vice, Triumph of the Spirit, Stand and Deliver, The Fortunate Pilgrim, Saving Grace, Kaze no tani no Naushika, Hill Street Blues, Faerie Tale Theatre, American Playhouse, Blade Runner, The Ballad of Gregorio Cortez, Zoot Suit, Wolfen, 300 Miles for Stephanie, Fukkatsu no hi, Evening in Byzantium, CHiPs, Police Story, The Fitzpatricks, Rafferty, Alambrista!, Visions, Hawaii Five-O, Starsky and Hutch, Delvecchio, Police Woman, The Blue Knight, Kojak, Bronk, Aloha, Bobby and Rose, Cannon, Bogard"
Coco,Sofía Espinosa,http://www.imdb.com/name/nm2016172/?ref_=tt_cl_t15,"
            Mamá 
  
  
  (voice)
  
                      

              ","Coco, Otras personas, Las 13 Esposas de Wilson Fernandez, Bruma, La Gran Promesa, Los crímenes de Mar del Norte, La Habitación, Hasta Que Te Conocí, Mist, A Chinese Box, La tierra de Nod, Gloria, Los Bañistas, Asteroide, Desterrados, Shakespeare tuvo una hermana, Simetría, Garú, Bienvenida Realidad, Vete más lejos Alicia, Las Aparicio, Te extraño, Chamaco, Beyond the Mexique Bay, Capadocia, El brassier de Emma, Ver llover, La niña en la piedra, La vida inmune, Sea of Dreams, Ciudado con el tren"
